trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,shape_dist_traveled
37148511_397007,11:39:00,11:39:00,1474832,3,,0,
37148511_397007,11:48:00,11:48:00,1474758,4,,1,
37148512_397008,14:13:00,14:13:00,1474829,0,,0,
37148512_397008,14:18:00,14:19:00,1474830,1,,0,
37148512_397008,14:24:00,14:25:00,1474831,2,,0,
37148512_397008,14:31:00,14:31:00,1474832,3,,0,
37148512_397008,14:40:00,14:40:00,1474758,4,,1,
37148513_397009,13:37:00,13:37:00,1474824,0,,0,
37148513_397009,13:41:00,13:41:00,1474825,1,,0,
37148513_397009,13:48:00,13:48:00,1474826,2,,0,
37148513_397009,13:55:00,13:55:00,1474827,3,,0,
37148513_397009,13:58:00,13:58:00,1474828,4,,0,
37148513_397009,14:02:00,14:13:00,1474829,5,,0,
37148513_397009,14:18:00,14:19:00,1474830,6,,0,
37148513_397009,14:24:00,14:25:00,1474831,7,,0,
37148513_397009,14:31:00,14:31:00,1474832,8,,0,
37148513_397009,14:40:00,14:40:00,1474758,9,,1,
37148514_397010,14:13:00,14:13:00,1474829,0,,0,
37148514_397010,14:18:00,14:19:00,1474830,1,,0,
37148514_397010,14:24:00,14:25:00,1474831,2,,0,
37148514_397010,14:31:00,14:31:00,1474832,3,,0,
37148514_397010,14:40:00,14:40:00,1474758,4,,1,
37148515_397011,16:23:00,16:23:00,1474829,0,,0,
37148515_397011,16:28:00,16:29:00,1474830,1,,0,
37148515_397011,16:34:00,16:35:00,1474831,2,,0,
37148515_397011,16:41:00,16:41:00,1474832,3,,0,
37148515_397011,16:50:00,16:50:00,1474758,4,,1,
37148516_397012,16:13:00,16:13:00,1474829,0,,0,
37148516_397012,16:18:00,16:19:00,1474830,1,,0,
37148516_397012,16:24:00,16:25:00,1474831,2,,0,
37148516_397012,16:31:00,16:31:00,1474832,3,,0,
37148516_397012,16:40:00,16:40:00,1474758,4,,1,
37148517_397013,18:33:00,18:33:00,1474829,0,,0,
37148517_397013,18:38:00,18:39:00,1474830,1,,0,
37148517_397013,18:44:00,18:45:00,1474831,2,,0,
37148517_397013,18:51:00,18:51:00,1474832,3,,0,
37148517_397013,19:00:00,19:00:00,1474758,4,,1,
37148519_397015,18:32:00,18:32:00,1474829,0,,0,
37148519_397015,18:37:00,18:38:00,1474830,1,,0,
37148519_397015,18:43:00,18:44:00,1474831,2,,0,
37148519_397015,18:50:00,18:50:00,1474832,3,,0,
37148519_397015,18:59:00,18:59:00,1474758,4,,1,
37148520_397016,18:33:00,18:33:00,1474829,0,,0,
37148520_397016,18:38:00,18:39:00,1474830,1,,0,
37148520_397016,18:44:00,18:45:00,1474831,2,,0,
37148520_397016,18:51:00,18:51:00,1474832,3,,0,
37148520_397016,19:00:00,19:00:00,1474758,4,,1,
37148521_397017,18:33:00,18:33:00,1474829,0,,0,
37148521_397017,18:38:00,18:39:00,1474830,1,,0,
37148521_397017,18:44:00,18:45:00,1474831,2,,0,
37148521_397017,18:51:00,18:51:00,1474832,3,,0,
37148521_397017,19:00:00,19:00:00,1474758,4,,1,
37148522_397018,18:05:00,18:05:00,1474824,0,,0,
37148522_397018,18:09:00,18:09:00,1474825,1,,0,
37148522_397018,18:22:00,18:22:00,1474827,2,,0,
37148522_397018,18:25:00,18:25:00,1474828,3,,0,
37148522_397018,18:30:00,18:32:00,1474829,4,,0,
37148522_397018,18:37:00,18:38:00,1474830,5,,0,
37148522_397018,18:43:00,18:44:00,1474831,6,,0,
37148522_397018,18:50:00,18:50:00,1474832,7,,0,
37148522_397018,18:59:00,18:59:00,1474758,8,,1,
37148523_397019,18:32:00,18:32:00,1474829,0,,0,
37148523_397019,18:37:00,18:38:00,1474830,1,,0,
37148523_397019,18:43:00,18:44:00,1474831,2,,0,
37148523_397019,18:50:00,18:50:00,1474832,3,,0,
37148523_397019,18:59:00,18:59:00,1474758,4,,1,
37148524_397020,09:25:00,09:25:00,1474829,0,,0,
37148524_397020,09:30:00,09:31:00,1474830,1,,0,
37148524_397020,09:36:00,09:37:00,1474831,2,,0,
37148524_397020,09:43:00,09:43:00,1474832,3,,0,
37148524_397020,09:51:00,09:51:00,1474758,4,,1,
37148525_397021,06:35:00,06:35:00,1474588,0,,0,
37148525_397021,06:38:00,06:38:00,1474589,1,,0,
37148525_397021,06:41:00,06:41:00,1474590,2,,0,
37148525_397021,06:42:00,06:42:00,1474591,3,,0,
37148525_397021,06:45:00,06:45:00,1474592,4,,0,
37148525_397021,06:50:00,06:50:00,1474593,5,,0,
37148525_397021,06:55:00,06:56:00,1474594,6,,0,
37148525_397021,06:57:00,06:57:00,1474595,7,,0,
37148525_397021,06:59:00,06:59:00,1474596,8,,0,
37148525_397021,07:00:00,07:00:00,1474597,9,,0,
37148525_397021,07:02:00,07:02:00,1474598,10,,0,
37148525_397021,07:06:00,07:06:00,1474599,11,,0,
37148525_397021,07:11:00,07:12:00,1474600,12,,0,
37148525_397021,07:13:00,07:13:00,1474601,13,,0,
37148525_397021,07:14:00,07:14:00,1474602,14,,0,
37148525_397021,07:17:00,07:17:00,1474603,15,,0,
37148525_397021,07:20:00,07:20:00,1474604,16,,0,
37148525_397021,07:25:00,07:30:00,1474605,17,,0,
37148525_397021,07:34:00,07:34:00,1474606,18,,0,
37148525_397021,07:36:00,07:36:00,1474607,19,,0,
37148525_397021,07:38:00,07:38:00,1474608,20,,0,
37148525_397021,07:40:00,07:40:00,1474609,21,,0,
37148525_397021,07:46:00,07:46:00,1474610,22,,0,
37148525_397021,07:54:00,07:57:00,1474611,23,,0,
37148525_397021,08:06:00,08:07:00,1474612,24,,0,
37148525_397021,08:17:00,08:17:00,1474613,25,,0,
37148525_397021,08:22:00,08:22:00,1474614,26,,1,
37148526_397022,07:57:00,07:57:00,1474611,0,,0,
37148526_397022,08:06:00,08:07:00,1474612,1,,0,
37148526_397022,08:17:00,08:17:00,1474613,2,,0,
37148526_397022,08:22:00,08:22:00,1474614,3,,1,
37148527_397023,07:57:00,07:57:00,1474611,0,,0,
37148527_397023,08:06:00,08:07:00,1474612,1,,0,
37148527_397023,08:17:00,08:17:00,1474613,2,,0,
37148527_397023,08:22:00,08:22:00,1474614,3,,1,
37148528_397024,08:30:00,08:30:00,1474614,0,,0,
37148528_397024,08:34:00,08:34:00,1474613,1,,0,
37148528_397024,08:44:00,08:45:00,1474612,2,,0,
37148528_397024,08:55:00,08:57:00,1474611,3,,0,
37148528_397024,09:04:00,09:04:00,1474610,4,,0,
37148528_397024,09:09:00,09:09:00,1474609,5,,0,
37148528_397024,09:12:00,09:12:00,1474608,6,,0,
37148528_397024,09:14:00,09:14:00,1474607,7,,0,
37148528_397024,09:18:00,09:18:00,1474606,8,,0,
37148528_397024,09:23:00,09:29:00,1474605,9,,0,
37148528_397024,09:30:00,09:30:00,1474604,10,,0,
37148528_397024,09:32:00,09:32:00,1474603,11,,0,
37148528_397024,09:35:00,09:35:00,1474602,12,,0,
37148528_397024,09:36:00,09:36:00,1474601,13,,0,
37148528_397024,09:41:00,09:42:00,1474600,14,,0,
37148528_397024,09:43:00,09:43:00,1474599,15,,0,
37148528_397024,09:47:00,09:47:00,1474598,16,,0,
37148528_397024,09:49:00,09:49:00,1474597,17,,0,
37148528_397024,09:51:00,09:51:00,1474596,18,,0,
37148528_397024,09:52:00,09:52:00,1474595,19,,0,
37148528_397024,09:56:00,09:57:00,1474594,20,,0,
37148528_397024,09:58:00,09:58:00,1474593,21,,0,
37148528_397024,10:03:00,10:03:00,1474592,22,,0,
37148528_397024,10:07:00,10:07:00,1474591,23,,0,
37148528_397024,10:10:00,10:10:00,1474590,24,,0,
37148528_397024,10:12:00,10:12:00,1474589,25,,0,
37148528_397024,10:18:00,10:18:00,1474588,26,,1,
37148530_397026,08:30:00,08:30:00,1474614,0,,0,
37148530_397026,08:34:00,08:34:00,1474613,1,,0,
37148530_397026,08:44:00,08:45:00,1474612,2,,0,
37148530_397026,08:55:00,08:55:00,1474611,3,,1,
37148531_397027,08:30:00,08:30:00,1474614,0,,0,
37148531_397027,08:34:00,08:34:00,1474613,1,,0,
37148531_397027,08:44:00,08:45:00,1474612,2,,0,
37148531_397027,08:55:00,08:55:00,1474611,3,,1,
37148532_397028,07:35:00,07:35:00,1474588,0,,0,
37148532_397028,07:38:00,07:38:00,1474589,1,,0,
37148532_397028,07:41:00,07:41:00,1474590,2,,0,
37148532_397028,07:42:00,07:42:00,1474591,3,,0,
37148532_397028,07:45:00,07:45:00,1474592,4,,0,
37148532_397028,07:50:00,07:50:00,1474593,5,,0,
37148532_397028,07:55:00,07:56:00,1474594,6,,0,
37148532_397028,07:57:00,07:57:00,1474595,7,,0,
37148532_397028,07:59:00,07:59:00,1474596,8,,0,
37148532_397028,08:00:00,08:00:00,1474597,9,,0,
37148532_397028,08:02:00,08:02:00,1474598,10,,0,
37148532_397028,08:06:00,08:06:00,1474599,11,,0,
37148532_397028,08:11:00,08:12:00,1474600,12,,0,
37148532_397028,08:13:00,08:13:00,1474601,13,,0,
37148532_397028,08:14:00,08:14:00,1474602,14,,0,
37148532_397028,08:17:00,08:17:00,1474603,15,,0,
37148532_397028,08:20:00,08:20:00,1474604,16,,0,
37148532_397028,08:25:00,08:30:00,1474605,17,,0,
37148532_397028,08:34:00,08:34:00,1474606,18,,0,
37148532_397028,08:36:00,08:36:00,1474607,19,,0,
37148532_397028,08:38:00,08:38:00,1474608,20,,0,
37148532_397028,08:40:00,08:40:00,1474609,21,,0,
37148532_397028,08:46:00,08:46:00,1474610,22,,0,
37148532_397028,08:54:00,08:57:00,1474611,23,,0,
37148532_397028,09:06:00,09:07:00,1474612,24,,0,
37148532_397028,09:17:00,09:17:00,1474613,25,,0,
37148532_397028,09:22:00,09:22:00,1474614,26,,1,
37148533_397029,08:57:00,08:57:00,1474611,0,,0,
37148533_397029,09:06:00,09:07:00,1474612,1,,0,
37148533_397029,09:17:00,09:17:00,1474613,2,,0,
37148533_397029,09:22:00,09:22:00,1474614,3,,1,
37148534_397030,08:57:00,08:57:00,1474611,0,,0,
37148534_397030,09:06:00,09:07:00,1474612,1,,0,
37148534_397030,09:17:00,09:17:00,1474613,2,,0,
37148534_397030,09:22:00,09:22:00,1474614,3,,1,
37148535_397031,09:30:00,09:30:00,1474614,0,,0,
37148535_397031,09:34:00,09:34:00,1474613,1,,0,
37148535_397031,09:44:00,09:45:00,1474612,2,,0,
37148535_397031,09:55:00,09:57:00,1474611,3,,0,
37148535_397031,10:04:00,10:04:00,1474610,4,,0,
37148535_397031,10:09:00,10:09:00,1474609,5,,0,
37148535_397031,10:12:00,10:12:00,1474608,6,,0,
37148535_397031,10:14:00,10:14:00,1474607,7,,0,
37148535_397031,10:18:00,10:18:00,1474606,8,,0,
37148535_397031,10:23:00,10:29:00,1474605,9,,0,
37148535_397031,10:30:00,10:30:00,1474604,10,,0,
37148535_397031,10:32:00,10:32:00,1474603,11,,0,
37148535_397031,10:35:00,10:35:00,1474602,12,,0,
37148535_397031,10:36:00,10:36:00,1474601,13,,0,
37148535_397031,10:41:00,10:42:00,1474600,14,,0,
37148535_397031,10:43:00,10:43:00,1474599,15,,0,
37148535_397031,10:47:00,10:47:00,1474598,16,,0,
37148535_397031,10:49:00,10:49:00,1474597,17,,0,
37148535_397031,10:51:00,10:51:00,1474596,18,,0,
37148535_397031,10:52:00,10:52:00,1474595,19,,0,
37148535_397031,10:56:00,10:57:00,1474594,20,,0,
37148535_397031,10:58:00,10:58:00,1474593,21,,0,
37148535_397031,11:03:00,11:03:00,1474592,22,,0,
37148535_397031,11:07:00,11:07:00,1474591,23,,0,
37148535_397031,11:10:00,11:10:00,1474590,24,,0,
37148535_397031,11:12:00,11:12:00,1474589,25,,0,
37148535_397031,11:18:00,11:18:00,1474588,26,,1,
37148537_397033,09:30:00,09:30:00,1474614,0,,0,
37148537_397033,09:34:00,09:34:00,1474613,1,,0,
37148537_397033,09:44:00,09:45:00,1474612,2,,0,
37148537_397033,09:55:00,09:55:00,1474611,3,,1,
37148538_397034,09:30:00,09:30:00,1474614,0,,0,
37148538_397034,09:34:00,09:34:00,1474613,1,,0,
37148538_397034,09:44:00,09:45:00,1474612,2,,0,
37148538_397034,09:55:00,09:55:00,1474611,3,,1,
37148539_397035,08:35:00,08:35:00,1474588,0,,0,
37148539_397035,08:38:00,08:38:00,1474589,1,,0,
37148539_397035,08:41:00,08:41:00,1474590,2,,0,
37148539_397035,08:42:00,08:42:00,1474591,3,,0,
37148539_397035,08:45:00,08:45:00,1474592,4,,0,
37148539_397035,08:50:00,08:50:00,1474593,5,,0,
37148539_397035,08:55:00,08:56:00,1474594,6,,0,
37148539_397035,08:57:00,08:57:00,1474595,7,,0,
37148539_397035,08:59:00,08:59:00,1474596,8,,0,
37148539_397035,09:00:00,09:00:00,1474597,9,,0,
37148539_397035,09:02:00,09:02:00,1474598,10,,0,
37148539_397035,09:06:00,09:06:00,1474599,11,,0,
37148539_397035,09:11:00,09:12:00,1474600,12,,0,
37148539_397035,09:13:00,09:13:00,1474601,13,,0,
37148539_397035,09:14:00,09:14:00,1474602,14,,0,
37148539_397035,09:17:00,09:17:00,1474603,15,,0,
37148539_397035,09:20:00,09:20:00,1474604,16,,0,
37148539_397035,09:25:00,09:30:00,1474605,17,,0,
37148539_397035,09:34:00,09:34:00,1474606,18,,0,
37148539_397035,09:36:00,09:36:00,1474607,19,,0,
37148539_397035,09:38:00,09:38:00,1474608,20,,0,
37148539_397035,09:40:00,09:40:00,1474609,21,,0,
37148539_397035,09:46:00,09:46:00,1474610,22,,0,
37148539_397035,09:54:00,09:57:00,1474611,23,,0,
37148539_397035,10:06:00,10:07:00,1474612,24,,0,
37148539_397035,10:17:00,10:17:00,1474613,25,,0,
37148539_397035,10:22:00,10:22:00,1474614,26,,1,
37148540_397036,09:57:00,09:57:00,1474611,0,,0,
37148540_397036,10:06:00,10:07:00,1474612,1,,0,
37148540_397036,10:17:00,10:17:00,1474613,2,,0,
37148540_397036,10:22:00,10:22:00,1474614,3,,1,
37148541_397037,09:57:00,09:57:00,1474611,0,,0,
37148541_397037,10:06:00,10:07:00,1474612,1,,0,
37148541_397037,10:17:00,10:17:00,1474613,2,,0,
37148541_397037,10:22:00,10:22:00,1474614,3,,1,
37148542_397038,10:30:00,10:30:00,1474614,0,,0,
37148542_397038,10:34:00,10:34:00,1474613,1,,0,
37148542_397038,10:44:00,10:45:00,1474612,2,,0,
37148542_397038,10:55:00,10:57:00,1474611,3,,0,
37148542_397038,11:04:00,11:04:00,1474610,4,,0,
37148542_397038,11:09:00,11:09:00,1474609,5,,0,
37148542_397038,11:12:00,11:12:00,1474608,6,,0,
37148542_397038,11:14:00,11:14:00,1474607,7,,0,
37148542_397038,11:18:00,11:18:00,1474606,8,,0,
37148542_397038,11:23:00,11:29:00,1474605,9,,0,
37148542_397038,11:30:00,11:30:00,1474604,10,,0,
37148542_397038,11:32:00,11:32:00,1474603,11,,0,
37148542_397038,11:35:00,11:35:00,1474602,12,,0,
37148542_397038,11:36:00,11:36:00,1474601,13,,0,
37148542_397038,11:41:00,11:42:00,1474600,14,,0,
37148542_397038,11:43:00,11:43:00,1474599,15,,0,
37148542_397038,11:47:00,11:47:00,1474598,16,,0,
37148542_397038,11:49:00,11:49:00,1474597,17,,0,
37148542_397038,11:51:00,11:51:00,1474596,18,,0,
37148542_397038,11:52:00,11:52:00,1474595,19,,0,
37148542_397038,11:56:00,11:57:00,1474594,20,,0,
37148542_397038,11:58:00,11:58:00,1474593,21,,0,
37148542_397038,12:03:00,12:03:00,1474592,22,,0,
37148542_397038,12:07:00,12:07:00,1474591,23,,0,
37148542_397038,12:10:00,12:10:00,1474590,24,,0,
37148542_397038,12:12:00,12:12:00,1474589,25,,0,
37148542_397038,12:18:00,12:18:00,1474588,26,,1,
37148544_397040,10:30:00,10:30:00,1474614,0,,0,
37148544_397040,10:34:00,10:34:00,1474613,1,,0,
37148544_397040,10:44:00,10:45:00,1474612,2,,0,
37148544_397040,10:55:00,10:55:00,1474611,3,,1,
37148545_397041,10:30:00,10:30:00,1474614,0,,0,
37148545_397041,10:34:00,10:34:00,1474613,1,,0,
37148545_397041,10:44:00,10:45:00,1474612,2,,0,
37148545_397041,10:55:00,10:55:00,1474611,3,,1,
37148546_397042,09:35:00,09:35:00,1474588,0,,0,
37148546_397042,09:38:00,09:38:00,1474589,1,,0,
37148546_397042,09:41:00,09:41:00,1474590,2,,0,
37148546_397042,09:42:00,09:42:00,1474591,3,,0,
37148546_397042,09:45:00,09:45:00,1474592,4,,0,
37148546_397042,09:50:00,09:50:00,1474593,5,,0,
37148546_397042,09:55:00,09:56:00,1474594,6,,0,
37148546_397042,09:57:00,09:57:00,1474595,7,,0,
37148546_397042,09:59:00,09:59:00,1474596,8,,0,
37148546_397042,10:00:00,10:00:00,1474597,9,,0,
37148546_397042,10:02:00,10:02:00,1474598,10,,0,
37148546_397042,10:06:00,10:06:00,1474599,11,,0,
37148546_397042,10:11:00,10:12:00,1474600,12,,0,
37148546_397042,10:13:00,10:13:00,1474601,13,,0,
37148546_397042,10:14:00,10:14:00,1474602,14,,0,
37148546_397042,10:17:00,10:17:00,1474603,15,,0,
37148546_397042,10:20:00,10:20:00,1474604,16,,0,
37148546_397042,10:25:00,10:27:00,1474605,17,,0,
37148546_397042,10:31:00,10:31:00,1474606,18,,0,
37148546_397042,10:33:00,10:33:00,1474607,19,,0,
37148546_397042,10:35:00,10:35:00,1474608,20,,0,
37148546_397042,10:37:00,10:37:00,1474609,21,,0,
37148546_397042,10:39:00,10:39:00,1474615,22,,0,
37148546_397042,10:44:00,10:44:00,1474610,23,,0,
37148546_397042,10:52:00,10:57:00,1474611,24,,0,
37148546_397042,11:06:00,11:07:00,1474612,25,,0,
37148546_397042,11:17:00,11:17:00,1474613,26,,0,
37148546_397042,11:22:00,11:22:00,1474614,27,,1,
37148547_397043,10:57:00,10:57:00,1474611,0,,0,
37148547_397043,11:06:00,11:07:00,1474612,1,,0,
37148547_397043,11:17:00,11:17:00,1474613,2,,0,
37148547_397043,11:22:00,11:22:00,1474614,3,,1,
37148548_397044,10:57:00,10:57:00,1474611,0,,0,
37148548_397044,11:06:00,11:07:00,1474612,1,,0,
37148548_397044,11:17:00,11:17:00,1474613,2,,0,
37148548_397044,11:22:00,11:22:00,1474614,3,,1,
37148549_397045,11:30:00,11:30:00,1474614,0,,0,
37148549_397045,11:34:00,11:34:00,1474613,1,,0,
37148549_397045,11:44:00,11:45:00,1474612,2,,0,
37148549_397045,11:55:00,11:57:00,1474611,3,,0,
37148549_397045,12:04:00,12:04:00,1474610,4,,0,
37148549_397045,12:09:00,12:09:00,1474609,5,,0,
37148549_397045,12:12:00,12:12:00,1474608,6,,0,
37148549_397045,12:14:00,12:14:00,1474607,7,,0,
37148549_397045,12:18:00,12:18:00,1474606,8,,0,
37148549_397045,12:23:00,12:29:00,1474605,9,,0,
37148549_397045,12:30:00,12:30:00,1474604,10,,0,
37148549_397045,12:32:00,12:32:00,1474603,11,,0,
37148549_397045,12:35:00,12:35:00,1474602,12,,0,
37148549_397045,12:36:00,12:36:00,1474601,13,,0,
37148549_397045,12:41:00,12:42:00,1474600,14,,0,
37148549_397045,12:43:00,12:43:00,1474599,15,,0,
37148549_397045,12:47:00,12:47:00,1474598,16,,0,
37148549_397045,12:49:00,12:49:00,1474597,17,,0,
37148549_397045,12:51:00,12:51:00,1474596,18,,0,
37148549_397045,12:52:00,12:52:00,1474595,19,,0,
37148549_397045,12:56:00,12:57:00,1474594,20,,0,
37148549_397045,12:58:00,12:58:00,1474593,21,,0,
37148549_397045,13:03:00,13:03:00,1474592,22,,0,
37148549_397045,13:07:00,13:07:00,1474591,23,,0,
37148549_397045,13:10:00,13:10:00,1474590,24,,0,
37148549_397045,13:12:00,13:12:00,1474589,25,,0,
37148549_397045,13:18:00,13:18:00,1474588,26,,1,
37148551_397047,11:30:00,11:30:00,1474614,0,,0,
37148551_397047,11:34:00,11:34:00,1474613,1,,0,
37148551_397047,11:44:00,11:45:00,1474612,2,,0,
37148551_397047,11:55:00,11:55:00,1474611,3,,1,
37148552_397048,11:30:00,11:30:00,1474614,0,,0,
37148552_397048,11:34:00,11:34:00,1474613,1,,0,
37148552_397048,11:44:00,11:45:00,1474612,2,,0,
37148552_397048,11:55:00,11:55:00,1474611,3,,1,
37148553_397049,10:35:00,10:35:00,1474588,0,,0,
37148553_397049,10:38:00,10:38:00,1474589,1,,0,
37148553_397049,10:41:00,10:41:00,1474590,2,,0,
37148553_397049,10:42:00,10:42:00,1474591,3,,0,
37148553_397049,10:45:00,10:45:00,1474592,4,,0,
37148553_397049,10:50:00,10:50:00,1474593,5,,0,
37148553_397049,10:55:00,10:56:00,1474594,6,,0,
37148553_397049,10:57:00,10:57:00,1474595,7,,0,
37148553_397049,10:59:00,10:59:00,1474596,8,,0,
37148553_397049,11:00:00,11:00:00,1474597,9,,0,
37148553_397049,11:02:00,11:02:00,1474598,10,,0,
37148553_397049,11:06:00,11:06:00,1474599,11,,0,
37148553_397049,11:11:00,11:12:00,1474600,12,,0,
37148553_397049,11:13:00,11:13:00,1474601,13,,0,
37148553_397049,11:14:00,11:14:00,1474602,14,,0,
37148553_397049,11:17:00,11:17:00,1474603,15,,0,
37148553_397049,11:20:00,11:20:00,1474604,16,,0,
37148553_397049,11:25:00,11:30:00,1474605,17,,0,
37148553_397049,11:34:00,11:34:00,1474606,18,,0,
37148553_397049,11:36:00,11:36:00,1474607,19,,0,
37148553_397049,11:38:00,11:38:00,1474608,20,,0,
37148553_397049,11:40:00,11:40:00,1474609,21,,0,
37148553_397049,11:46:00,11:46:00,1474610,22,,0,
37148553_397049,11:54:00,11:57:00,1474611,23,,0,
37148553_397049,12:06:00,12:07:00,1474612,24,,0,
37148553_397049,12:17:00,12:17:00,1474613,25,,0,
37148553_397049,12:22:00,12:22:00,1474614,26,,1,
37148554_397050,11:57:00,11:57:00,1474611,0,,0,
37148554_397050,12:06:00,12:07:00,1474612,1,,0,
37148554_397050,12:17:00,12:17:00,1474613,2,,0,
37148554_397050,12:22:00,12:22:00,1474614,3,,1,
37148555_397051,11:57:00,11:57:00,1474611,0,,0,
37148555_397051,12:06:00,12:07:00,1474612,1,,0,
37148555_397051,12:17:00,12:17:00,1474613,2,,0,
37148555_397051,12:22:00,12:22:00,1474614,3,,1,
37148556_397052,12:30:00,12:30:00,1474614,0,,0,
37148556_397052,12:34:00,12:34:00,1474613,1,,0,
37148556_397052,12:44:00,12:45:00,1474612,2,,0,
37148556_397052,12:55:00,12:57:00,1474611,3,,0,
37148556_397052,13:04:00,13:04:00,1474610,4,,0,
37148556_397052,13:07:00,13:07:00,1474615,5,,0,
37148556_397052,13:09:00,13:09:00,1474609,6,,0,
37148556_397052,13:12:00,13:12:00,1474608,7,,0,
37148556_397052,13:14:00,13:14:00,1474607,8,,0,
37148556_397052,13:18:00,13:18:00,1474606,9,,0,
37148556_397052,13:23:00,13:29:00,1474605,10,,0,
37148556_397052,13:30:00,13:30:00,1474604,11,,0,
37148556_397052,13:32:00,13:32:00,1474603,12,,0,
37148556_397052,13:35:00,13:35:00,1474602,13,,0,
37148556_397052,13:36:00,13:36:00,1474601,14,,0,
37148556_397052,13:41:00,13:42:00,1474600,15,,0,
37148556_397052,13:43:00,13:43:00,1474599,16,,0,
37148556_397052,13:47:00,13:47:00,1474598,17,,0,
37148556_397052,13:49:00,13:49:00,1474597,18,,0,
37148556_397052,13:51:00,13:51:00,1474596,19,,0,
